 ,Label,Area,BX,BY,Width,Height,Angle,Length
42,c75(a1-c2)-3.tif:0002-0046-0266:2,0.316,44.576,7.119,1.186,1.356,45.000,1.739
43,c75(a1-c2)-3.tif:0002-0045-0324:2,0.287,54.576,7.119,0.847,1.186,54.462,1.458
44,c75(a1-c2)-3.tif:0002-0209-0099:2,0.259,16.271,34.915,1.017,1.017,-45.000,1.438
45,c75(a1-c2)-3.tif:0002-0141-0437:2,0.402,73.051,23.559,2.034,0.678,18.435,2.144
46,c75(a1-c2)-3.tif:0002-0138-0396:2,0.230,67.119,22.881,0.169,1.186,98.130,1.198
47,c75(a1-c2)-3.tif:0002-0093-0674:2,0.431,113.559,14.746,1.525,2.034,50.711,2.424
48,c75(a1-c2)-3.tif:0002-0249-0717:2,0.460,120.339,41.525,2.373,1.356,31.608,2.618
49,c75(a1-c2)-3.tif:0002-0238-0734:2,0.287,123.729,40.339,1.525,0.000,0.000,1.525
50,c75(a1-c2)-3.tif:0002-0720-0303:2,0.373,50.847,121.186,1.186,1.695,52.125,2.000
51,c75(a1-c2)-3.tif:0002-0710-0331:2,0.373,55.254,120.000,1.864,0.847,26.565,1.971
52,c75(a1-c2)-3.tif:0002-0911-0373:2,0.488,62.542,153.220,1.356,2.373,60.255,2.660
53,c75(a1-c2)-3.tif:0002-0282-0988:2,0.287,166.780,47.627,1.525,0.339,12.529,1.563
54,c75(a1-c2)-3.tif:0002-0302-0954:2,0.316,161.017,50.678,1.356,1.017,32.005,1.645
55,c75(a1-c2)-3.tif:0002-0441-0899:2,0.287,151.695,74.407,1.356,0.847,32.005,1.599
56,c75(a1-c2)-3.tif:0002-0345-1094:2,0.316,184.746,58.136,1.525,0.847,29.055,1.745
57,c75(a1-c2)-3.tif:0002-0432-1104:2,0.460,186.102,72.712,2.203,1.186,28.301,2.503
58,c75(a1-c2)-3.tif:0002-0460-1203:2,0.259,203.559,77.458,0.847,1.017,50.194,1.324
59,c75(a1-c2)-3.tif:0002-0443-1283:2,0.201,217.458,74.576,0.169,1.017,99.462,0.947
60,c75(a1-c2)-3.tif:0002-0167-1277:2,0.345,216.441,27.458,0.169,1.864,-90.000,1.866
61,c75(a1-c2)-3.tif:0002-0155-1330:2,0.460,224.407,25.593,2.203,1.356,31.608,2.587
62,c75(a1-c2)-3.tif:0002-0160-1334:2,0.345,225.593,26.271,1.017,1.695,59.036,1.904
63,c75(a1-c2)-3.tif:0002-0063-1104:2,0.287,186.610,10.169,1.186,1.017,35.538,1.443
64,c75(a1-c2)-3.tif:0002-0055-1191:2,0.345,201.186,8.644,1.356,1.356,48.814,1.859
65,c75(a1-c2)-3.tif:0002-0127-1309:2,0.345,221.186,21.017,1.525,1.186,37.875,1.866
66,c75(a1-c2)-3.tif:0002-0868-1281:2,0.287,216.610,146.610,1.186,1.017,40.601,1.563
67,c75(a1-c2)-3.tif:0002-0882-1265:2,0.287,213.898,148.983,1.186,1.017,40.601,1.563
68,c75(a1-c2)-3.tif:0002-0684-1202:2,0.373,202.881,115.424,1.864,1.017,30.964,2.050
69,c75(a1-c2)-3.tif:0002-0582-0914:2,0.460,154.068,97.797,1.864,1.864,42.274,2.577
70,c75(a1-c2)-3.tif:0002-0576-0772:2,0.345,130.000,97.288,1.695,0.678,21.801,1.825
71,c75(a1-c2)-3.tif:0002-0587-0773:2,0.345,130.847,98.644,0.508,1.864,-74.745,1.933
72,c75(a1-c2)-3.tif:0002-0718-0845:2,0.345,142.542,121.186,1.525,1.186,41.186,1.814
73,c75(a1-c2)-3.tif:0002-0621-0885:2,0.517,148.814,104.576,2.542,1.356,29.745,2.807
74,c75(a1-c2)-3.tif:0002-0905-1165:2,0.287,197.288,152.712,0.339,1.525,-96.340,1.546
75,c75(a1-c2)-3.tif:0002-0917-1177:2,0.316,198.644,155.254,1.695,0.339,11.310,1.645
76,c75(a1-c2)-3.tif:0002-0885-0843:2,0.316,142.373,149.322,1.186,1.356,48.814,1.747
77,c75(a1-c2)-3.tif:0002-0893-0850:2,0.316,143.898,150.508,0.339,1.695,84.289,1.714
78,c75(a1-c2)-3.tif:0002-0905-0851:2,0.402,143.220,152.881,2.034,1.017,26.565,2.198
79,c75(a1-c2)-5.tif:0002-0717-0464:2,0.431,77.458,121.525,2.373,0.169,-4.086,2.294
80,c75(a1-c2)-5.tif:0002-0651-0399:2,0.460,66.610,109.831,2.203,1.186,28.301,2.503
81,c75(a1-c2)-5.tif:0002-0808-0343:2,0.402,57.119,136.610,2.203,0.678,18.435,2.224
82,c75(a1-c2)-5.tif:0002-0794-0362:2,0.287,61.017,134.068,0.847,1.186,54.462,1.458
83,c75(a1-c2)-5.tif:0002-0742-0715:2,0.316,120.508,125.254,1.356,1.017,32.005,1.645
84,c75(a1-c2)-5.tif:0002-0155-1059:2,0.402,178.475,26.102,2.203,0.339,-9.462,2.134
85,c75(a1-c2)-5.tif:0002-0194-1043:2,0.460,175.593,32.712,2.542,0.508,12.095,2.510
86,c75(a1-c2)-5.tif:0002-0225-1099:2,0.603,185.085,36.949,2.373,2.373,45.000,3.356
87,c75(a1-c2)-5.tif:0002-0129-0910:2,0.345,153.559,21.356,1.525,1.186,37.875,1.814
88,c75(a1-c2)-5.tif:0002-0147-0902:2,0.287,152.542,24.237,0.847,1.356,63.435,1.482
89,c75(a1-c2)-5.tif:0002-0171-0907:2,0.287,153.390,28.305,0.847,1.356,-54.462,1.528
