 ;Label;Area;BX;BY;Width;Height;Angle;Length
31;ms510(a1-c5)-10.tif:0001-0278-1099:1;0.287;185.932;46.441;0.678;1.356;-63.435;1.516
32;ms510(a1-c5)-10.tif:0001-0449-1056:1;0.488;178.475;74.915;1.186;2.542;-64.983;2.771
33;ms510(a1-c5)-10.tif:0001-0469-1065:1;0.230;180.339;78.983;0.508;1.186;-66.801;1.180
34;ms510(a1-c5)-10.tif:0001-0338-0921:1;0.402;155.763;56.271;0.847;2.034;-67.380;2.125
35;ms510(a1-c5)-10.tif:0001-0322-0911:1;0.316;154.237;53.729;0.508;1.695;73.301;1.747
36;ms510(a1-c5)-10.tif:0001-0353-1123:1;0.373;190.000;58.983;0.847;1.864;-65.556;2.048
37;ms510(a1-c5)-10.tif:0001-0244-1002:1;0.287;169.492;40.678;0.678;1.356;-63.435;1.441
38;ms510(a1-c5)-10.tif:0001-0538-0995:1;0.402;167.797;90.508;1.864;1.356;-36.027;2.187
39;ms510(a1-c5)-10.tif:0001-0454-0927:1;0.431;157.119;75.763;0.000;2.373;-90.000;2.288
40;ms510(a1-c5)-10.tif:0001-0425-0918:1;0.546;154.915;70.678;1.356;2.881;112.380;3.072
41;ms510(a1-c5)-10.tif:0001-0070-1102:1;0.316;186.271;11.186;1.017;1.525;-57.995;1.716
42;ms510(a1-c5)-10.tif:0001-0036-1089:1;0.287;184.576;5.424;0.169;1.525;97.125;1.451
43;ms510(a1-c5)-10.tif:0001-0108-0932:1;0.373;157.119;17.627;1.695;1.356;-41.634;2.105
44;ms510(a1-c5)-10.tif:0001-0090-0922:1;0.517;156.271;13.898;0.000;2.881;90.000;2.797
45;ms510(a1-c5)-10.tif:0001-0094-0910:1;0.316;154.068;15.085;0.508;1.695;106.699;1.665
46;ms510(a1-c5)-10.tif:0001-0125-0994:1;0.230;168.136;20.678;0.678;1.017;51.340;1.153
