 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
22,Control5.lif - Series003:0006-0411-0657:z:6/9 - Series003,0.618,186.873,101.750,249.750,118.461,74.134,-30.964,3.233
23,Control5.lif - Series003:0006-0535-0696:z:6/9 - Series003,0.423,179.041,117.500,232.694,125.406,96.501,-34.992,2.129
24,Control5.lif - Series003:0006-0541-0717:z:6/9 - Series003,0.488,166.549,103.500,226.018,129.284,97.538,-39.289,2.554
25,Control5.lif - Series003:0004-0368-0540:z:4/9 - Series003,0.358,116.704,11.500,167.500,97.357,66.378,-23.962,1.859
26,Control5.lif - Series003:0004-0367-0553:z:4/9 - Series003,0.293,121.824,62.750,146.914,99.702,66.198,-23.199,1.457
27,Control5.lif - Series003:0007-0402-0635:z:7/9 - Series003,0.651,176.690,111.227,239.713,114.493,72.556,0.000,3.338
28,Control5.lif - Series003:0007-0471-0540:z:7/9 - Series003,0.716,158.451,53.500,233.942,97.493,84.867,-22.834,3.719
29,Control5.lif - Series003:0009-0688-0729:z:9/9 - Series003,0.618,190.270,142.500,239.250,131.539,124.098,-20.556,3.167
30,Control5.lif - Series003:0009-0681-0703:z:9/9 - Series003,0.716,73.743,22.723,168.268,126.804,122.926,-39.094,3.719
31,Control5.lif - Series003:0009-0612-0887:z:9/9 - Series003,0.358,136.368,96.000,169.100,159.857,110.299,-36.870,1.732
32,Control5.lif - Series003:0009-0605-0868:z:9/9 - Series003,0.358,167.062,87.500,240.200,156.430,109.082,-16.699,1.826
33,Control5.lif - Series002:0001-0477-0133:z:1/21 - Series002,0.325,110.044,94.000,122.000,23.945,85.904,40.601,1.678
34,Control5.lif - Series002:0001-0473-0145:z:1/21 - Series002,0.325,124.733,50.000,184.111,26.245,85.182,40.601,1.606
35,Control5.lif - Series002:0001-0373-0254:z:1/21 - Series002,0.325,133.717,81.667,165.469,45.905,67.400,-20.556,1.619
36,Control5.lif - Series002:0001-0373-0233:z:1/21 - Series002,0.488,125.597,74.667,191.095,42.027,67.400,4.086,2.537
37,Control5.lif - Series002:0001-0440-0194:z:1/21 - Series002,0.358,104.619,46.333,141.702,35.023,79.425,0.000,1.748
38,Control5.lif - Series002:0001-0436-0176:z:1/21 - Series002,0.553,108.436,47.000,133.042,31.746,78.764,-3.576,2.889
39,Control5.lif - Series002:0001-0729-0581:z:1/21 - Series002,0.553,89.445,52.909,134.406,104.828,131.554,29.745,2.919
40,Control5.lif - Series002:0001-0741-0562:z:1/21 - Series002,0.423,29.757,17.765,57.111,101.401,133.628,34.992,2.186
41,Control5.lif - Series002:0009-0877-0466:z:9/21 - Series002,0.455,86.166,59.333,106.667,84.085,158.219,-22.620,2.400
42,Control5.lif - Series002:0019-0917-0417:z:19/21 - Series002,0.293,123.711,33.000,169.104,75.307,165.434,-29.745,1.485
43,Control5.lif - Series002:0005-0959-0293:z:5/21 - Series002,0.293,92.338,47.250,117.509,52.827,173.047,15.945,1.483
44,Control5.lif - Series002:0005-0961-0359:z:5/21 - Series002,0.553,88.477,53.500,116.691,64.732,173.431,-18.435,2.809
45,Control5.lif - Series002:0005-0965-0374:z:5/21 - Series002,0.325,95.383,38.750,145.565,67.483,174.039,-6.340,1.610
46,Control5.lif - Series002:0005-1015-0260:z:5/21 - Series002,0.455,113.898,45.000,148.207,46.898,183.194,41.987,2.397
47,Control5.lif - Series002:0005-0961-0279:z:5/21 - Series002,0.390,97.304,33.000,145.148,50.392,173.341,16.699,1.903
48,Control5.lif - Series002:0005-0977-0078:z:5/21 - Series002,0.390,119.494,67.750,162.064,14.092,176.272,26.565,1.976
49,Control5.lif - Series002:0005-0609-0515:z:5/21 - Series002,0.293,109.141,62.000,137.281,92.893,109.803,23.199,1.412
50,Control5.lif - Series002:0005-0607-0529:z:5/21 - Series002,0.325,63.903,52.000,82.833,95.373,109.352,23.962,1.658
