 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
61,Slice4-2doses-final.lif - Series004:0001-0160-0138:z:1/25 - Series004,0.651,70.086,20.667,102.088,24.982,28.920,0.000,3.429
62,Slice4-2doses-final.lif - Series004:0001-0185-0098:z:1/25 - Series004,0.260,76.524,43.000,102.127,17.797,33.339,66.801,1.291
63,Slice4-2doses-final.lif - Series004:0001-0119-0105:z:1/25 - Series004,0.716,46.697,26.000,60.145,18.909,21.585,-13.392,3.763
64,Slice4-2doses-final.lif - Series004:0001-0116-0079:z:1/25 - Series004,0.521,59.992,35.111,71.919,14.280,21.044,-11.310,2.748
65,Slice4-2doses-final.lif - Series004:0001-0085-0080:z:1/25 - Series004,0.651,87.461,35.000,129.015,14.550,15.332,-11.889,3.443
66,Slice4-2doses-final.lif - Series004:0001-0088-0060:z:1/25 - Series004,0.325,78.195,42.222,92.428,10.823,15.783,12.529,1.592
67,Slice4-2doses-final.lif - Series004:0003-0222-0017:z:3/25 - Series004,0.651,72.577,36.000,124.912,3.096,40.103,40.601,3.361
68,Slice4-2doses-final.lif - Series004:0009-0187-0119:z:9/25 - Series004,0.260,83.827,68.111,97.381,21.615,33.850,8.130,1.285
69,Slice4-2doses-final.lif - Series004:0010-0271-0240:z:10/25 - Series004,0.651,110.150,56.889,151.146,43.290,48.882,-49.086,3.496
70,Slice4-2doses-final.lif - Series004:0010-0289-0254:z:10/25 - Series004,0.553,96.781,34.333,141.050,45.905,52.189,-50.194,2.949
71,Slice4-2doses-final.lif - Series004:0010-0333-0259:z:10/25 - Series004,0.553,73.848,34.111,96.781,46.837,59.975,-47.490,2.934
72,Slice4-2doses-final.lif - Series004:0010-0346-0278:z:10/25 - Series004,0.651,72.601,44.667,104.768,50.295,62.470,-55.491,3.404
73,Slice4-2doses-final.lif - Series004:0007-0235-0368:z:7/25 - Series004,0.390,92.002,55.000,120.714,66.408,42.418,-30.964,2.021
74,Slice4-2doses-final.lif - Series004:0007-0190-0597:z:7/25 - Series004,0.683,115.658,47.556,191.164,107.654,34.452,-2.726,3.676
75,Slice4-2doses-final.lif - Series004:0007-0179-0602:z:7/25 - Series004,0.455,71.989,36.667,89.903,108.706,32.468,4.399,2.297
76,Slice4-2doses-final.lif - Series004:0007-0193-0504:z:7/25 - Series004,0.521,70.747,28.556,113.333,90.939,34.873,7.595,2.716
77,Slice4-2doses-final.lif - Series004:0005-0193-0854:z:5/25 - Series004,0.488,74.368,49.667,105.313,154.101,34.752,15.945,2.511
78,Slice4-2doses-final.lif - Series004:0005-0194-0834:z:5/25 - Series004,0.553,100.045,41.000,133.913,150.463,35.023,7.125,2.857
79,Slice4-2doses-final.lif - Series004:0004-0177-0731:z:4/25 - Series004,0.455,70.125,56.564,87.538,131.824,31.987,-36.027,2.433
80,Slice4-2doses-final.lif - Series004:0013-0240-0807:z:13/25 - Series004,0.358,90.704,35.000,118.240,145.563,43.260,-29.055,1.868
81,Slice4-2doses-final.lif - Series004:0001-0232-0703:z:1/25 - Series004,0.521,71.795,48.111,86.200,126.894,41.877,-19.654,2.738
82,Slice4-2doses-final.lif - Series004:0001-0225-0674:z:1/25 - Series004,0.716,103.475,69.111,140.617,121.693,40.705,-13.392,3.822
83,Slice4-2doses-final.lif - Series004:0015-0375-0550:z:15/25 - Series004,0.455,80.532,43.889,104.746,99.327,67.701,-28.610,2.372
84,Slice4-2doses-final.lif - Series004:0015-0239-0692:z:15/25 - Series004,0.488,67.816,25.667,110.320,124.880,43.110,-12.095,2.453
85,Slice4-2doses-final.lif - Series004:0015-0219-0747:z:15/25 - Series004,0.455,78.638,48.222,105.268,134.680,39.472,-34.992,2.273
86,Slice4-2doses-final.lif - Series004:0010-0182-0625:z:10/25 - Series004,0.651,122.329,84.588,159.221,112.734,32.828,-21.251,3.462
87,Slice4-2doses-final.lif - Series004:0016-0722-0483:z:16/25 - Series004,0.293,65.637,51.667,76.833,87.272,130.231,-29.745,1.454
88,Slice4-2doses-final.lif - Series004:0016-0715-0473:z:16/25 - Series004,0.293,84.449,27.333,110.547,85.227,128.998,-14.036,1.415
89,Slice4-2doses-final.lif - Series004:0016-0503-0192:z:16/25 - Series004,0.358,87.570,64.667,114.600,34.662,90.819,-53.130,1.888
