 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
178,Control6.lif - Series003:0016-0855-0171:z:16/16 - Series003,0.694,119.529,54.500,170.632,41.065,205.628,33.690,2.702
179,Control6.lif - Series003:0016-0838-0178:z:16/16 - Series003,0.752,212.788,92.500,255.000,42.629,201.539,48.366,2.818
180,Control6.lif - Series003:0016-0827-0191:z:16/16 - Series003,0.636,120.289,71.500,145.600,45.815,198.894,36.870,2.405
181,Control6.lif - Series003:0016-0821-0181:z:16/16 - Series003,0.810,147.368,92.000,168.469,43.591,197.451,34.992,3.035
182,Control6.lif - Series003:0016-0805-0198:z:16/16 - Series003,0.578,109.742,61.000,145.247,47.739,193.603,57.995,2.269
183,Control6.lif - Series003:0016-1013-0249:z:16/16 - Series003,0.578,129.031,38.111,196.016,60.125,243.707,69.444,2.084
184,Control6.lif - Series002:0001-0474-0378:z:1/19 - Series002,0.636,203.557,93.500,248.780,90.849,113.817,84.289,2.288
185,Control6.lif - Series002:0001-0455-0383:z:1/19 - Series002,0.983,132.165,79.039,229.750,91.991,109.548,68.199,3.885
186,Control6.lif - Series002:0001-0375-0374:z:1/19 - Series002,0.578,233.205,168.824,255.000,89.887,90.127,83.660,2.076
187,Control6.lif - Series002:0001-0362-0377:z:1/19 - Series002,0.636,189.384,134.000,240.530,90.789,86.881,73.301,2.396
188,Control6.lif - Series002:0001-0462-0447:z:1/19 - Series002,0.578,229.817,134.500,255.000,107.323,111.111,77.471,2.194
189,Control6.lif - Series002:0001-0854-0246:z:1/19 - Series002,0.405,221.464,154.000,255.000,59.193,205.387,99.462,1.454
190,Control6.lif - Series002:0001-0826-0367:z:1/19 - Series002,0.463,206.178,106.500,255.000,88.203,198.743,99.462,1.628
191,Control6.lif - Series002:0001-0840-0367:z:1/19 - Series002,0.636,189.250,91.000,251.310,88.294,202.050,95.711,2.352
192,Control6.lif - Series002:0001-0958-0410:z:1/19 - Series002,0.752,170.076,89.000,255.000,98.605,230.359,84.806,2.807
193,Control6.lif - Series002:0001-0976-0406:z:1/19 - Series002,0.868,207.690,108.952,255.000,97.683,234.889,81.254,3.255
194,Control6.lif - Series002:0010-0647-0657:z:10/19 - Series002,0.752,187.609,128.989,234.750,158.089,155.644,90.000,2.970
195,Control6.lif - Series002:0010-0663-0661:z:10/19 - Series002,0.578,146.733,92.778,224.383,158.890,159.612,-90.000,2.245
196,Control6.lif - Series002:0010-0346-0659:z:10/19 - Series002,0.521,212.877,121.000,247.974,158.530,83.333,90.000,2.006
197,Control6.lif - Series002:0005-0826-0368:z:5/19 - Series002,0.521,227.950,77.333,255.000,88.384,198.733,104.036,1.809
198,Control6.lif - Series002:0005-0839-0367:z:5/19 - Series002,0.578,204.778,98.889,248.926,88.344,201.820,102.529,2.188
199,Control6.lif - Series002:0005-0859-0266:z:5/19 - Series002,0.521,175.894,99.667,225.625,64.093,206.590,-75.964,2.004
200,Control6.lif - Series002:0005-0845-0260:z:5/19 - Series002,0.463,221.037,159.000,255.000,62.650,203.303,-97.125,1.780
